,Handset Type,Average Throughput (kbps)
267,Hong Kong Frog I. A10,222.0
268,Hongkong Ipro Te. Ipro I9350 I9400 S3 Wave 3.5 Wave 4.0,51.5
269,Honstech Communi. Do G26,2716.5
270,Htc 10,12789.25
271,Htc 2Pya210,6898.833333333333
272,Htc 2Q55100,1178.5
273,Htc 2Q5V100,17661.25
274,Htc 2Q5W100,19607.0
275,Htc 2Q6E100,23746.5
276,Htc Clic100,182.5
277,Htc Desire,32.0
278,Htc Desire 10 Lifestyle,18.5
279,Htc Desire 310,3626.5
280,Htc Desire 510,5117.847222222222
281,Htc Desire 530,4387.0
282,Htc Desire 610,4045.8333333333335
283,Htc Desire 620,4337.666666666667
284,Htc Desire 626,4800.375
285,Htc Desire 650,7974.6875
286,Htc Desire 728,9309.0
287,Htc Desire 816,7784.166666666667
288,Htc Desire 820,6466.4375
289,Htc Desire 820G Plus Dual Sim,7536.5
290,Htc Desire 825,9062.15909090909
291,Htc Desire C,220.25
292,Htc Desire X,122.0
293,Htc One,2331.5333333333333
294,Htc One (M8),2435.875
295,Htc One A9,13284.416666666666
296,Htc One M9,9969.3
297,Htc One Mini,8200.0
298,Htc One Mini 2,8391.5
299,Htc Pl80100,180.0
300,Htc U Play,3157.1666666666665
301,Htc U11,551.0
302,Htc Windows Phone 8S By Htc,124.25
303,Huawei Ale-Ul00,2197.25
304,Huawei Ascend G6,3718.0
305,Huawei Ascend G620S,6536.5
306,Huawei Ascend Mate7,5743.0
307,Huawei Ascend P7,7033.0
308,Huawei Ascend Y330,1252.611111111111
309,Huawei Ascend Y530,4447.5
310,Huawei Ascend Y550,13275.5
311,Huawei Ascend Y600,4763.0
312,Huawei Aum-Al00,33912.0
313,Huawei B315S-22,7945.333333333333
314,Huawei B525S-23A,9075.207287228013
315,Huawei B525S-65A,14916.75
316,Huawei B528S-23A,18432.963994725844
317,Huawei B593,8045.0
318,Huawei B593S-12,6992.53125
319,Huawei B593S-22,8836.026090972222
320,Huawei B618S-22D,10697.309523809525
321,Huawei B715S-23C,18296.395889833333
322,Huawei Bkl-Al20,4773.25
323,Huawei Bkl-Tl10,16015.5
324,Huawei Bln-Al10,2880.5
325,Huawei Bln-Al30,4343.6875
326,Huawei Bln-Tl10,11697.5
327,Huawei Bnd-Al10,30.0
328,Huawei Chc-U01,46.0
329,Huawei Col-Al10,16127.666666666666
330,Huawei Col-L29,5247.354864068628
331,Huawei Cor-L29,6431.578967575758
332,Huawei Dli-Al10,1445.5
333,Huawei Dli-L22,4465.760638297872
334,Huawei Dub-Lx1,43.6
335,Huawei E180,160.0
336,Huawei E3372,119.25
337,Huawei E5180,14551.18735875968
338,Huawei E5186S,8231.140121066308
339,Huawei E5220S-2,9270.0
340,Huawei E5372S-32,11613.0078400271
341,Huawei E5573,15404.638521485975
342,Huawei E5573B,12679.66015
343,Huawei E5577,15256.647621555556
344,Huawei E5577 E5577C,14319.962719298246
345,Huawei E5776S-32,14948.041666666666
346,Huawei E5785Lh-22C,13590.467261904761
347,Huawei E5786S-32A Huawei E5786Bs-32A,19271.25
348,Huawei E587 E587U-2 Turkcell Vinnwifi E587,11909.5
